MIC,Company,Address,City,State
4WN,FOUR WINNS INC,4 WINN WAY,CADILLAC,MI
AAA,LA VIDA YACHT SALES,PO BOX 8300,ST THOMAS,VI
AAB,ALL-A-BOARD PONTOONS,211 S MULBERRY ST,FARINA,IL
AAC,ALL CRAFT MARINE LLC,40047 COUNTY RD 54 E,ZEPHYRHILLS,FL
AAD,AARON HINES DESIGNS,197 LANDFALL DR,EDEN,NC
AAE,WEST COAST ALUMINUM OUTFITRS,4841 SPIRIT LAKE HIGHWAY,SILVERLAKE,WA
AAF,Redline Yachts LLC,1150 Collins Ave #301,Miami Beach,FL
AAG,ACADIA CANOES,5 LABELLE RD,ELLSWORTH,ME
AAH,ALPHA CUSTOMS LLC,9316 Irwin Trail,Montgomery,MN
AAI,LIBERATOR BOATS,3808 COUNTY RD 919,CROWLEY,TX
AAJ,"Dek Kat, LLC","2215 3rd Street South, STE. 2",Jacksonville Beach,FL
AAK,ALASKA MARINE ENGINEERING LLC,3550 N Seagull Dr,Palmer,AK
AAL,A & L FIBERGLASS,614 PAM LEM ST,COCOA,FL
AAM,OUTBACK FABRICATION,41505 SW SANDSTROM RD,GASTON,OR
AAN,ALL AMERICAN BOATS,407 PIN-DU-LAC DRIVE,CENTRAL,SC
AAO,SkiffWorx INC,229 Market Ave Ste 105,Boerno,TX
AAP,"ALL AMERICAN MARINE, INC.",200 HARRIS AVE,BELLINGHAM,WA
AAQ,AMERICAN ALUMINUM MARINE LLC,165 CROSSING NORTH ST,THIBODAUX,LA
AAR,AQUAMARA BOATWORKS INC.,1258 Russell Dr.,Ocoee,FL
AAS,Nifinity Marine,1021 VZ Conty Road 4810,Ben Wheeler,TX
AAT,Pacific Yacht and Tug,PO Box 1145,Eagle Point,OR
AAU,AIRBOATS UNLIMITED INC,778 WOODHULL RD,BAINBRIDGE,GA
AAV,SNEAKS UNLIMITED INC,P O BOX 214,PELION,SC
AAW,"ARC ALASKA WELDING, LLC","9251 JEWEL LAKE RD, UNIT I",ANCHORAGE,AK
AAX,AA MANUFACTURING & ENGINEERING LLC,8565 CHAPIN RD,PIGEON,MI
AAY,Mid Valley Performance/ MVP Custom Boats,921 SW Cheltenham Street,Portland,OR
AAZ,SKUTA ARMORED BOATS LLC,15130 Heron Meadow,Cypress,TX
AB8,McManus SuperBoats,15821 Chief Court,Ft. Myers,FL
AB9,ALMOND BOAT PARK,28 N. BOX 1,BRYSON CITY,NC
ABA,ALLIGATOR BAY ENTERPRISES LLC,685 NEW RIVER INLET RD,NORTH TOPSAIL BEACH,NC
ABB,ALBURY BROTHERS BOATS,1401 BROADWAY,RIVIERA BEACH,FL
ABC,U.S. COAST GUARD HEADQUARTERS,"2703 Martin Luther King Jr.,",WASHINGTON,DC
ABD,ATLANTIC BOAT SERVICE INC,2325 NW 149 STREET,OPA LOCKA,FL
ABE,MARK MCMANUS INC,15821 CHIEF COURT,FORT MYERS,FL
ABF,Artboats LLC,8 Depot Rd,Falmouth,ME
ABG,Glenfield Inc,6108 39th Ave W,Bradenton,FL
ABH,ATLANTIC BOAT CO INC,P. O. BOX 217,BROOKLIN,ME
ABI,SP MARINE FABRICATION LLC,7510 BREE DR,BREMERTON,WA
ABJ,AIRBOATS 'R' US,17443 ALICE LOOP,EAGLE RIVER,AK
ABK,Havet Industries,104 Pigeon Forge CT,Murrells Inlet,SC
ABL,AMERICAN BOAT DISTRIBUTION LLC,2550 SOUTH BAYSHORE STE 11,MIAMI,FL
ABM,Caswell Inc,7696 Route 31,Lyons,NY
ABN,FORWARD VENTURES GP LLC,10525 LAKECOVE WAY,KNOXVILLE,TN
ABO,AVANTI BOATS LLC,23783 SW 133RD AVE,HOMESTEAD,FL
ABP,ATLANTIC BOAT WORKS LLC,110 D NINETY PARK RD,CONWAY,SC
ABQ,AFFORDABLE BOAT REPAIR,103 E MAIN AVE,LUMBERTON,MS
ABR,ABELL CRAFT MARINE,3776 MAIN STREET,CHINCOTEAGUE ISLAND,VA
ABS,AIR BOAT SERVICE INC,9092 NW SOUTH RIVER DRIVE SUI,MIAMI,FL
ABT,AMERICAN BOATWORKS LLC,2211 FRUITVILLE ROAD,SARASOTA,FL
ABU,Tigershark Electric Mini Pontoons,3419 161 street,Urbandale,IA
ABV,COM-PAC YACHTS,1195 KAPP DRIVE,CLEARWATER,FL
ABW,"ALLIED BOAT WORKS, LLC",146 TOWER RD,PERU,ME
ABX,ARBUCKLE OUTDOORS,5421 W Woodlawn St,Dunnellon,FL
ABY,AIRBOAT WEST,BOX 16 D PILAR,EMBUDO,NM
ABZ,ASPOYA BOATS,13113 SOUTH WILDWOOD LN,ANACORTES,WA
ACA,"ESSEX COUNTY CHAPTER NYSARC, INC.",10 Saint Patrick's Place,Port Henry,NY
ACB,BRP MARINE US INC.,565 DE LA MONTAGNE,VALCOURT,PQ
ACC,ACTION CRAFT BOATS,6725 Bayline Drive,Panama City,FL
ACD,ACTION CRAFT,PO BOX 1634,PROVO,UT
ACE,ACME ENGINEERING CO,3323 N KEY DR STE 14,NORTH FT MYERS,FL
ACF,Metal Union,5395 Webb Parkway NW,Liburn,GA
ACG,Sons of Bayne Boatworks,1337 Merchant Court,Mount Pleasant,SC
ACH,"ACHILLES USA, INC",1407 80TH ST SW,EVERETT,WA
ACI,Omega Protein Shipyard,5659 Elder Ferry Rd,Moss Point,MS
ACJ,NAUSET MARINE INC,PO BOX 357,ORLEANS,MA
ACK,Cobb's Custom Boats,304 River Falls Street,Andalusia,AL
ACL,AVENGER CUSTOM BOATS LLC,PO BOX 11,BELLE CHASSE,LA
ACM,ACTION MARINE INC,24 ABACO RD,KEY LARGO,FL
ACN,SKAI SERVICES INC,3147 CORNELL DR.,GULF BREEZE,FL
